X [cm],energy[MeV],ex,ey
0.025,12,0,2.44949
0.075,13,0,2.54951
0.125,9.5,0,2.17945
0.175,9.5,0,2.17945
0.225,10,0,2.23607
0.275,12.5,0,2.5
0.325,9.5,0,2.17945
0.375,13,0,2.54951
0.425,9.5,0,2.17945
0.475,10.5,0,2.29129
0.525,15.5,0,2.78388
0.575,10,0,2.23607
0.625,12.5,0,2.5
0.675,12,0,2.44949
0.725,13.5,0,2.59808
0.775,12.5,0,2.5
0.825,14.5,0,2.69258
0.875,19.5,0,3.1225
0.925,21.5,0,3.27872
0.975,12,0,2.44949
1.025,18.5,0,3.04138
1.075,21.5,0,3.27872
1.125,21,0,3.24037
1.175,28,0,3.74166
1.225,26.5,0,3.64005
1.275,23.5,0,3.42783
1.325,13,0,2.54951
1.375,6,0,1.73205
1.425,0,0,0
1.475,0,0,0
1.525,0,0,0
1.575,0,0,0
